,NAME OF COMPANY,ADDRESS,LOCALITY,TOWN,REGION,MOBILE,TEL(0),E-MAIL,CONTACT
17,???Bilqis International Ltd.,P.O. Box KA 18166,Accra,ACCRA,GA,548960034,302959054,rocksond@yahoo.com,Munzir Naasr-Deen
18,???Biss Integrated Co. Ltd.,P.O. Box HP 608,Cantonru,ACCRA,GA,208113396,54038430,naasrdeen@qmail.com,S. Billy Sunnu
19,???Blackivy Gh. Ltd.- Indigohomes,P.O. Box CT 11035,Achimote,ACCRA,GA,201381234,244819900,biss@africaonline.com.gh,Cheryl D. Mills
20,???Blue Rose Ltd.,P.O. Box AH 154,Circle,ACCRA,GA,552522803,302814301,ramoo@blackivygroup.com,Eric Ebo Acquah
21,???Bot Properties Limited,P.O. Box ST 237,Sakumont,ACCRA,GA,552249439,302990442,info@blueroselimited.com,Bernard Owusu-Twumasi
22,???Buena Vista Homes,P.O. Box SK 494,Accra-Nor,ACCRA,GA,277553352,244377394,botproperties21@gmail.com,Kwabena Nyarko
23,???Buildaf Company Ltd.,P.O. Box AN 10353,Accra,ACCRA,GA,504100009,501271271,kwabenanyarko@yahoo.com,Abubakari Kwaning
24,Builders Bazar Limited,P.O. Box CT 3295,Cantonment,ACCRA,GA,244641374,302241459,info@buildafghana.com,Isaac Kyei-Mensah
25,Bureg Properties Limited,P.O. Box CT 5109,Accra,ACCRA,GA,501690234,244292610,info@buildersbazar.com.gh,George Nana Sam Mends
26,Capemay Properties Limited,,Accra,ACCRA,GA,244222376,303401401,info@buregproperties.com,Eunice Adjei Bonsu
27,Casa City Company Limited,P.O. Box MP 4117,Accra,ACCRA,GA,262898686,244941071,cynthia.banitamina@gmail.com,Samuel Ayim Mawuli
28,CBC Properties Limited,P.O. Box GP 2882,Airport,ACCRA,GA,546330245,557855393,info@casacity.org,Christian Nii Abbosey
29,Chain Homes Ghana Ltd.,P.O. Box KIA 1819,Mokola,ACCRA,GA,277770333,,info@cbcghanaltd.com,Emmanuel. Addae
30,Clifton Homes Ltd.,P.O. Box 55,Nungua,ACCRA,GA,302712262,,sales@chainhomes.org,Ernest Hanson
31,Coastal Industries Ltd.,P.O. Box 152,Airport,ACCRA,GA,577687650,,info@cliftonghana.com,Aaron Odai Odiko
32,Comet Properties Lta.,P.O. Box 16392,Accra North,ACCRA,GA,204343011,303935313,enquiries@coastalestatesltd.com,Nana Odeneho Kyeremateng
33,Cosmos Real Estate Limited,[P.O. Box AN 6595,Kanda,ACCRA,GA,244655476,245677535,cometbackup@gmail.com,Emmanuel Nartey
34,CPL Developers Ltd.,1P.O. Box KD 383,Accra,ACCRA,GA,208554494,264770333,cosmosestateS2016@gmail.com,Dr.Ing. Stephen Debrah-Ablormeti
35,Crownhil Properties Co.Lta.,|P.O. Box GP 2842,Niiboiman,ACCRA,GA,209453019,302712455,stephen@cplestatesgh.com,Emmanuel Bonney
36,Crownhouse Logistics & Const.,[P.O. Box NB 1171,Kumasi,ACCRA,GA,264385205,302257735,eecrownhill@qmail.com,Francis K. Torsoo
37,Danywise Estate & Const. Works,,Accra,ACCRA,GA,266141616,545143735,offeijnris@yahoo.com,Frank Aboagye Danyansah
38,Das Dezign Shoppe Limited,P.O. Box GP 14243,Kumasi,ACCRA,GA,207424242,302967893,frankdanyansah@yahoo.com,Dixon M.Robertson-Siawor
39,De-Geons Investment Limited,[P.O. Box KS 7537,Cantonments,ACCRA,GA,302779281,,deshoppellc@gmail.com,George Asamoah
40,Denya Developers Ltd.,P.O. Box CT 7081,Accra,ACCRA,GA,243400300,555555815,de_geons31@yahoo.com,Scot Murray
41,Design Resources Estates Ltd.,P.O. Box 86/6,Accra-North,ACCRA,GA,201381234,,info@denyadevelopers.com,Prof. Forster Kum-Ankama Sarpong
42,Devtraco Limited,P.O. Box AN 12284,Adenta,ACCRA,GA,266854598,,estates@estatesdesign.com,Seth Adu
43,Diaserve Gh. Ltd.,P.O. Box AF 677,Airport,ACCRA,GA,244442187,,seth.adu@devtraco.com,Ransford Amoo
44,Dikpe Estates,P.O. Box KIA 18245,Achimota,ACCRA,GA,266141616,302798785,info@diaservegroup.com,Dello-Ziem Kaaka
45,Dom-Ino Projects Company Ltd.,P.O. Box AH 399,Kumasi,Kumasi,AR,209050275,244321960,info@dikpeestates.com,Robert Asiedu
46,Ellis Royal Company Limited,P.O. Box KS 9474,Sakumono ,ACCRA,GA,546973993,302810275,rwasiedu@yahoo.com,George Asamoah
47,Elrano Projects & Consult Ltd.,P.O. Box SK 768,Cantonments,ACCRA,GA,268667007,593798660,de_geons31@yahoo.com,Elvin Nunoo Lankai
48,Emerald Properties Ltd.,P.O. Box PMB CT48,Tema,ACCRA,GA,266806859,207005736,info@elrano.com,Harry Quartey
49,Emmanet Real Est. & Propty. Migt.,1P.O. Box CO 4093,,ACCRA,GA,303975061,,harry@emeraldpropertiesgh.com,Emmanuel Kwaku
50,Ernrit Estates Ltd.,P.O. Box 13798,,ACCRA,GA,559494914,,info.emmanet@gmail.com,Ernest Isaacs Kwashie
51,Estate Masters Lta.,1P.O. Box CO 4279,Tema,ACCRA,GA,244697718,208255921,info@ernrit.com,Francis Nesta Opey
52,Felpong AKF Company Limited,P.O. Box 15525,Accra North,ACCRA,GA,577700036,302781857,info@estatemastersgh.com,Felix Yaw Oppong
53, Flexcon MB Ltd.,P.O. Box CT 10175,Cantonments,ACCRA,GA,303130013,243053924,info@felpongakfestate.com,E. Oblie Armah
54,FNC Partners Ltd.,P.O. Box MD 327,Madina,ACCRA,GA,243875224,540120711,flexconmb@gmail.com,Francis Ofori-Atta
55,Geocom Company Limited ,P.O. Box MS 604,Achimota,ACCRA,GA,544347979,243370356,info@fncpartnersltd.com,[Festus Mawuli Kluvitsey
56,Ghana UK Construction Ltd,P.O. Box KIA 9527,Airport,ACCRA,GA,322028580,,geocomcompanyltd@gmail.com,Kehl Todio
57,GHS Housing Ltd.,,Kuntunse,ACCRA,GA,244513467,,info@ghanaukconstruct.com,Baffour Osei Akoto
58,Gideomania Limited,P.O. Box BA 217,Bantama,ACCRA,GA,244619726,302778936,osei.baffour@ghslimited.net,Gideon Teye
59,Global Gate Properties Company Ltd.,P.O. Box MP 2644,Mamprobi,ACCRA,GA,544340521,302556672,gideonteye5@gmail.com,Daniel Nii Amposah Dodoo
60,Gold Coast Pioneer Construction Limite,P.O. Box CT 4117,Cantonments,ACCRA,GA,552988644,241992377,info@globalgatepropertiesgh.com,Samuel Linck Adu
61,Goldkey Properties Limited,P.O. Box AN 8743,Accra North,ACCRA,GA,244234304,302902580,info@goldcoastpioneer.com,Fuseina Abu
62,Group C Ghana Ltd.,P.O. Box 6,Adowa,ACCRA,GA,254968514,544347981,info@goldkeyghana.com,Charles David Bompuoh
63,Heabeon Homes,P.O. Box CT 5312,Cantonments,ACCRA,GA,577685224,208111377,info@groupcgh.com,Gertrude Oheneba Sodji
64,Homemax Company Ltd.,P.O. Box AN 11469,Accra-North,ACCRA,GA,241400500,,info@heabeonghana.com,Alex Osei Mensah 
65,Homes Direct Ltd.,P.O. Box AN 7451,Accra-North,ACCRA,GA,277882036,302782028,Makexltd2000@yahoo.co.uk,Samuel K. Amegayibor
66,[Imperial Homes Ltd.,P.O. Box AN 6230,Accra-North,ACCRA,GA,244631299,302678749,samegayibor@homesdirectghana.com,Francis Biney
67,J.B Aboagye Construction Co. Ltd.,P.O. Box 1964,Kumasi,Kumasi,AR,265292731,312004649,gkorankye@imperialhomesghana.com,James B. Aboagye
68,JB Homes Ltd.,P.O. Box 125,KNUST,Kumasi,AR,200940000,502708285,ibaboagye800@gmail.com,Jerry Owusu-Ansah
69,JL Properties Ltd.,P.O. Box AH 1039,Achimota,ACCRA,GA,244933285,245968519,info@ibhomesgh.com,Elizabeth Selby
70,JNJ Marketing Consult Ghana Ltd.,P.O. Box CO 3007,Tema,ACCRA,GA,503320463,577682662,ilproperties@yahoo.com,Joyce A. A. Clegg
71,Jual Group Ghana Limited,P.O. Box NT 97,New Town,ACCRA,GA,540207626,302731032,sales@jualgroup.com,Solomon Martey
72,K. Zorre Properties Limited,P.O. Box WY 1057,Dome,ACCRA,GA,243279289,242037617,kzorre15@gmail.com,Cyrus Kwaku Zorre
73,Kas Estate (Gh)Ltd.,P.O. Box WJ 889,Weija,ACCRA,GA,44786846885,550496399,kas.estate@yahoo.com,Yahya Kassim Atta
74,Kert City Investments Ltd.,P.O. Box AF 1972,Adenta,ACCRA,GA,243370195,540835716,kertcity@gmail.com,Andrew A. Kert
75,Kevety Consult,P.O. Box WY 2049,,ACCRA,GA,244254605,204001546,info.kevetyconsult@yahoo.com,Kwaku Tano-Yeboah
76,Klems Realty & Engineering Consult Limi,e P.O. Box KIA 30707,Airport,ACCRA,GA,302502058,501437318,klemsconsult@gmail.com,Clement Owusu Asiedu
77,Koans Building Solution Ltd.,P.O. Box AT 1720,Achimota Market,ACCRA,GA,244374722,302777847,koansestate@yahoo.com,Kofi Anokye
78,Krakton Limited,P.O. Box 12860,Accra,ACCRA,GA,204775043,302963740,daniel@bricklanegh.com,Daniel Kwadjo Teye
79,KRM Services Ltd.,P.O. Box GP 21792,Accra,ACCRA,GA,277552996,501291886,krmkirich@yahoo.com,Kwow Richardson
80,Lakeside Estate,P.O. Box DTD 170,Cantonments,ACCRA,GA,549512454,,sales@lakesideestate.com,Dr. Prince Ayiku
81,Lemet Construction Co. Ltd.,P.O. Box STC 643,Accra,ACCRA,GA,243320517,303931708,info@lemetgh.com,Johnson Terkpe Teye
82,Lighting Hub Engineering Ltd.,P.O. Box GP 17996,Accra Central,ACCRA,GA,243407156,553133954,info@lightinghubgh.com,Prosper Baafi Nti
83,Locus Estate Ltd.,P.O. Box CT 7489,Cantonments,ACCRA,GA,201688451,303972782,info@locusestate.com,Yaw Afrifa
84,L-Time Properties Ltd.,P.O. Box SK 1031,Sakumono,ACCRA,GA,541018111,208097444,info@ltimeproperties.com,Francis K.Agbeko
85,Magil Enterprise,P.O. Box 816,Sakumono,ACCRA,GA,268095555,302775043,ahiadormehemmanuel@gmail.com,Mary Boafo Ahiadormeh
86,Mal-Bernice Estate Construction Gh. Ltd,. P.O. Box KB 651,Korle Bu,ACCRA,GA,244318455,244313684,malbernicerealestate@gmail.com,Malik Ni Okine
87,Manet Housing International,P.O. Box T 125,Stadium,ACCRA,GA,208115227,551405378,kwabena@manet.com,Theresa Oppong
88,MDEX Group Company Ltd.,P.O. Box CT KN 6018,Kaneshie,ACCRA,GA,248575759,596057352,lagyemfra@mymdex.com,Edward Pimpong Agyemfra
89,Medium Dwelling Co. Ltd.,P.O. Box ML 72,Mallam,ACCRA,GA,244998249,247075601,jarkokorsah65@gmail.com,J. Arko-Korsah
90,Mobus Properties (Ghana) Ltd.,P.O. Box CT 3398,Cantonments,ACCRA,GA,206394529,540573421,info@mobusproperty.com.gh,Magnus Opare Asamoah
91,Mos Property Consultancy Ltd.,P.O. Box CT 8111,Cantonments,ACCRA,GA,556615560,,info@mosproperties.com,David A. Kantong
92,Moworks Limited,P.O. Box AN 6558,Accra-North,ACCRA,GA,207379310,302768531,admin@moworksgh.com,Patrick Adumua
93,Myla Homes Ltd.,P.O. Box MD 413,Madina,ACCRA,GA,244353243,303968866,info@mylahomes.com,Maxwell Oppong
94,Myron Investments Ltd.,P.O. Box SR 159,Spintex Rd,ACCRA,GA,241114222,,rubyforson@gmail.com,Ruby O. Forson
95,Nowak Developments Ltd.,P.O. Box AN 6251,Accra North,ACCRA,GA,545982756,302760613,nowak@opeibea.com.gh,Oko Omaboe
96,NTHC Properties Ltd.,P.O. Box 9563,Airport,ACCRA,GA,244068477,302919472,eva.andohpoku@nthcpghana.com,Eva Andoh-Poku
97,Nyame Dua Homes Ltd.,P.O. Box OS 2444,Osu,ACCRA,GA,500300055,505256416,kiran@thegreensgh.com,Kiran Daswani
98,Prabon Greenfields,,Kumasi,Kumasi,AR,202055504,556615561,fredy@vital-capital.com,Eli Salam
99,Priority View Homes,P.O. Box KA 30451,KIA,ACCRA,GA,202013030,307020951,myhome@priorityviewhomes.com,Eric Affaidu
100,Prudent Properties Ltd.,P.O. Box CO 4568,Tema,ACCRA,GA,501419091,,info@prudentpropertiesltd.com,Frank Ofori Numo Patrick E. Bonful
101,PS Global Limited,P.O. Box GP 21136,Accra-Central,ACCRA,GA,208284244,302764736,pbonful@psgloballtd.com,Philip Korletey
102,Quality Properties,P.O. Box GP 779,Accra-Central,ACCRA,GA,246666444,244310311,qualitypropertiesgh@yahoo.com,Regina Botchwey
103,Regimanuel Gray Ltd.,P.O. Box AN 8124,Accra-North,ACCRA,GA,245674898,,info@regimanuelgray.com,Gordon Mpuah
104,Regsma Limited,P.O. Box AN 12623,Accra-North,ACCRA,GA,550192626,302543981,regsma@yahoo.com,: Gideon Akrofi
105,Rehoboth Properties Ltd.,P.O. Box AT 1940,Achimota,ACCRA,GA,544315966,302969904,lindarockson@rehobothpropertiesgh.com,| Kwakye Dopoah-Dei
106,Rivonia Ghana Ltd.,P.O. Box CT 2177,Cantonments,ACCRA,GA,277443838,303401335,info@rivoniagh.com,Hubert Yao Atiase
107,Rosanti Construction & Financial Serv. Ltd.,P.O. Box 17436,Accra,ACCRA,GA,546187460,200203444,rosanticonstruction@yahoo.com,Dr. Felix Kwame Semavor
108,Royal Valley Estate Ltd.,P.O. BOX CT 10010,Accra,ACCRA,GA,289549634,302764683,rveghana@gmail.com,Richard A. Ladjagla
109,RSS Developers Ltd.,P.O. Box CT 6463,Cantonments,ACCRA,GA,265308882,204311232,richard@rssdevelopers.com,I.E. deGraft-Johnson
110,Saflex Engineering Co. (Gh) Ltd.,P.O. Box M7,Ministries,ACCRA,GA,208510396,244764499,saflex2010@hotmail.com,Ebenezer S. Addo-Mensah
111,Saka Homes Ltd.,P.O. Box MS 76,Mile 7 New Achimota,ACCRA,GA,244888244,302817401,saka@sakahomes.com,William Adjei-Kodua
112,Salem Investment Ltd.,P.O. Box TN 209,T-Nungua Est.,ACCRA,GA,244311450,,sharon.adjei@yahoo.com,[Nana Osei Frimpong-Sarkodie
113,Savvy Solutions Limited,P.O. Box KN 4350,Kaneshie,ACCRA,GA,266000298,208137573,savvsol@yahoo.com,Simon Sawer Tetteh
114,awer-Nanor and Sons Company Limited,P.O. Box 1188,Tema,ACCRA,GA,501279285,,info@sawenanorgh.com,Nuku Tamakloe
115,Seedlings Ltd.,P.O. Box SR 339,Spintex Rd,ACCRA,GA,262858473,302370881,nukuseed@gmail.com,Charanteet Sigh Sethi
116,Sethi Realty Ltd.,P.O. Box CT 322,Cantonments,ACCRA,GA,242678414,542868061,monosethi@gmail.com,Joseph Agbeko Biga
117,Signum Development Ltd.,P.O. Box CT 9884,Cantonments,ACCRA,GA,556593564,302963029,info@signumdevelopment.com,[Alhaji Salah K. Kalmoni
118,Silver Star Tower Ltd.,P.O. Box DTD 166,Cantonments,ACCRA,GA,277551947,302816218,ed@silverstartowers.com,Kojo Biney
119,Smart Homes Ghana,P.O. Box AN 15286,Accra-North,ACCRA,GA,544315412,244485558,kbiney@smartghomes.com,William Evan Halm
120,Spektra Global Limited,P.O. Box CT 10443,Cantonments,ACCRA,GA,553697886,55692713,finance@spektra.global,Bernard N.L. Laryea
121,| Springside Development Ltd.,P.O. Box CS 9303,Tema,ACCRA,GA,246846104,244311109,info@springsidedevelopment.com,Kwaku A. Ohemeng-Agyei
122,Square Mile Properties,P.O. Box UP 969,KNUST,Kumasi,AR,289553814,302779841,myhome@squaremilehomes.com,Kwabena Ampofo Appiah
123,State Housing Co. Ltd.,P.O. Box 2753,Accra,ACCRA,GA,279732705,302787150,info@statehousing.gov.gh,Kwabena Obeng
124,Steaman Group Ltd.,,Baatsona,ACCRA,GA,244318299,242786105,nana.obengbrentuo@steamangroup.c,Elias George Hage
125,Stone Depot Ghana,P.O. Box KIA 106,Airport,ACCRA,GA,556191734,303973399,linfo@stonedepotgh.com,Michael O'Grantson-Agyapong
126,Sucasa Properties Ltd.,GA-334-6333,East Legon,ACCRA,GA,242538168,,info@sucasapropertiesgh.com,Suresh N. Pindoriya
127,Swami India Ghana Ltd.,P.O. Box KA 9060,East Legon Hills,ACCRA,GA,501288100,302905131,info@swamiindiaghanaltd.com,Torgbor Mensah
128,T&T Properties Ltd.,P.O. Box CT 4419,Cantonments,ACCRA,GA,243389999,302232829,info@oceanviewvillas.estate,Dugbatey Hoese Teye
129,Temel Plus Ltd. Co.,P.O. Box STC 643,Accra,ACCRA,GA,543090302,552514975,temelplusltd@gmail.com,Dr. Alex Tweneboa
130,Tracoaf Estates Ltd.,P.O. Box 9797,Airport,ACCRA,GA,545480458,302960865,tracoaf@aol.com,Jonathan Nartey
131,Tresor Properties Ltd.,P.O. Box CT 2542,Cantonments,ACCRA,GA,244632911,269870038,inartey@bontresor.com,Frank Adu Peprah
132,Trulander JSF Ltd.,P.O. Box NB 461,Nungua,ACCRA,GA,240111500,302264885,info@trulander.com,Samuel Oteng
133,Twinbrook Consult Limited,P.O. Box CT 5950,Cantonments,ACCRA,GA,243131233,244313684,service@twinbrookconsult.com,Alaa Zayed
134,Vaal Real Estate Limited,P.O. Box KIA 9630,Airport,ACCRA,GA,246282030,244203147,info@vaal.com.gh,Nana Bonsu Darko
135,Venaldi Ghana Limited,,,ACCRA,GA,243740485,302956795,venaldiltd@gmail.com,Angela Adjei Boateng
136,Vertex Properties,,East Legon,ACCRA,GA,44758001371,558157127,vertex01@yahoo.com,Charles A. Yeboah
137,Wachild Company Ltd.,P.O. Box OS 934,Osu,ACCRA,GA,266594246,303940500,wachildestates@yahoo.com,Benjamin Cohen
138,Waylead Company Ghana Ltd.,P.O. Box CT 6448,Cantonments,ACCRA,GA,246642116,204521537,info@wayleadcorp.com,Benjamin O. Borlabi
139,Western Bicon Construction Ltd.,P.O. Box T/N 979,T/Nungua Est.,ACCRA,GA,541663620,240111119,bi-fon@gmail.com,Mathew Boadu-Adjei
140,Whitewall Properties Ltd.,P.O. Box CT 1169,Cantonments,ACCRA,GA,,244866306,rebecca@whitewallproperties.com,Rev. Dickson A. Daniels
141,Willet Investment Real Estate Ltd.,P.O. Box Co. 2904,Tema,ACCRA,GA,,2023099961,revdickson4@gmail.com,Mavis Badu- Gyamfi
142,Xcelsz Property Solutions Ghana Limit,P.O. Box KS 18360,Kumasi,Kumasi,AR,,,development@xcelsz.com,Douglas K. Frimpong
143,Zaddington Properties,P.O. Box PMB CT 454,Cantonments,ACCRA,GA,,508944252,sales@zaddingtonproperties.com,Abdul Aziz Addo Ibrahim
144,Ziy Construction,P.O. Box GP 20430,Accra,ACCRA,GA,,208429680,Ziyconstruction10@gmail.com,Georgette Arthur
145,Violet City Properties Ltd.,,Accra,ACCRA,GA,,546215592,,
146,Alof Group Ltd, N/A,Accra,ACCRA,GA,200906361,N/A,oforialvin1@gmail.com     ,N/A
147,Hallmark Ghana,N/A,Labone,ACCRA,GA,247014609,N/A,info@hallmarkgh.com,N/A
148,Hp& Franghem ,N/A,Accra,ACCRA,GA,245296634,N/A,  apexgh@yahoo.com,N/A
149,Canal PC,N/A,Labone ,ACCRA,GA,550454454,N/A,canalpcgh@gmail.com,N/A
150,Devtraco Plus,N/A,Accra,ACCRA,GA,501522075,N/A,info@devtracoplus.com,N/A
151,Goldrick Props,N/A,Adenta,ACCRA,GA,543477447,N/A,goldrickproperties777@gmail.com,N/A
152,Mondasan ,N/A,Accra,ACCRA,GA,553011264,N/A,Salesmondasanconstruction@gm,N/A
153,Molders group,N/A,Dzorwulu,ACCRA,GA,206345437,N/A,"m.oseitutu@moldersgroup,com",N/A
154,Primdale Estate,N/A,Afienya,ACCRA,GA,551823612,N/A, bediidegyesi@gmail.com,N/A
155,Rhema Estate,N/A,Ho,HO,VR,547415150,N/A, lesliegladstone32@gmail.com,N/A
156,UT Properties,N/A,East Legon,ACCRA,GA,501324777,N/A, emmanuel.ashong@utpropsgh.c,N/A
157,Ridge condos,N/A,Kumasi,KUMASI,AR,591585979,N/A,Sharandemo@gmail.com,N/A
158,Rabdah Africa,N/A,Accra,ACCRA,GA,200186902,N/A, rbdaah@yahoo.com,N/A
159,Locus Estates,N/A,East Airport,ACCRA,GA,200557704,N/A, locusestates@gmail.com,N/A
160,Elson Properties,N/A,East Legon,ACCRA,GA,548250726,N/A, elsonsgltd@gmail.com,N/A
161,Square Miles ,N/A,Spintex,ACCRA,GA,245208597,N/A,marketing@squaremileshome.co,N/A
162,Dot.com,N/A,Tema,ACCRA,GA,233200212,N/A,dotcompropsgh@gmail.com,N/A
163,Ransa Props,N/A,Accra,ACCRA,GA,546124988,N/A, ransaproperties@gmail.com,N/A
164,Omega Realty,N/A,Dansoman,ACCRA,GA,244288517,N/A,fredrick.ntiamoah@yahoo.com,N/A
165,Pleroma Props,N/A,East Legon,ACCRA,GA,548988340,N/A,samueleliliipeh@gmail.com,N/A
166,Okpenor Props,N/A,Osu,ACCRA,GA,244626457,N/A,albert_adjah@yahoo.com,N/A
167,Scarcity Props,N/A,Lame,ACCRA,GA,549475466,N/A,scarcityproperties@gmail.com,N/A
168,SylvaHills Props,N/A,Accra,ACCRA,GA,541090493,N/A,sylvahillsproperties@gmail.com,N/A
169,Truvalu Props,N/A,Accra,ACCRA,GA,531336868,N/A,info@truvalurealty.com,N/A
170,Unipac Props,N/A,Tse-addo,ACCRA,GA,505359301,N/A,unipacproperties@gmail.com,N/A
171,Melton Props,N/A,East Legon,ACCRA,GA,243321202,N/A,akinola77@gmail.com,N/A
172,Isotach Global,N/A,North Ridge,ACCRA,GA,553138465,N/A, isotachglobal@gmail.com,N/A
173,IGWT  Estate,N/A,Spintex,ACCRA,GA,552511585,N/A,ingodwetrustagent@gmail.com,N/A
174,Lord's Dew Estate,N/A,Tema,ACCRA,GA,200454245,N/A,info@lordsdewestate.com,N/A
175,Ike Evergreen ,N/A,Ashaiman,ACCRA,GA,243651298,N/A,isaackofiquarshie@gmail.com,N/A
176,Helives pcf Resources,N/A,Achimota,ACCRA,GA,559260452,N/A,helives.ogan606@gmail.com,N/A
177,Global aid property,N/A,Ashaiman,ACCRA,GA,547811873,N/A,globalaidproperties@gmail.com,N/A
178,Gee Kharis Property,N/A,Medie,ACCRA,GA,246159482,N/A,geekharismart@gmail.com,N/A
179,Fs Property,N/A,Spintex,ACCRA,GA,550585511,N/A,    fsproperties01@gmail.com,N/A
180,Edanpapa Properties,N/A,Spintex,ACCRA,GA,244806982,N/A,     dekoncepts@gmail.com ,N/A
181,Efiewura Realty,N/A,Accra,ACCRA,GA,503760619,N/A,   efiewurarealty@gmail.com,N/A
182,Ben Phils Properties LTD,N/A,Accra,ACCRA,GA,502386374,N/A,benphilspropertiesltd@gmail.com,N/A
183,Alecasa360,N/A,Spintex,ACCRA,GA,572260294,N/A,kofi.osonoasare@gmail.com,N/A
184,Darwin Real Estate,N/A,La-aborm,ACCRA,GA,240098876,N/A,darwinrealestate.agency@yahoo.,N/A
185,Omega  Realty,N/A,Dansoman,ACCRA,GA,244288517,N/A,fredrick.ntiamoah@yahoo.com,N/A
186,True Homes,N/A,Accra,ACCRA,GA,,N/A,john.khater41@gmail.com,N/A
187,Tony Trapeze,N/A,Accra,ACCRA,GA,555360011,N/A,tonytrapemail@gmail.com,N/A
188,Quasi Properties gh,N/A,West Hills City,ACCRA,GA,559404023,N/A,quesipropertiesghana@gmail.com,N/A
189,Silicon Real Estate,N/A,Asawasi,Kumasi,AR,322499646,N/A,N/A,N/A
190,MTS Agency,N/A,Santasi Anyinam,Kumasi,AR,243343295,N/A,N/A,N/A
191,No Melt B Consult,N/A,Akropong,Kumasi,AR,248399028,N/A,N/A,N/A
192,Doorstead Property,N/A,N/A,Kumasi,AR,N/A,N/A,N/A,N/A
193,Adabof Ghana,N/A,Adum,Kumasi,AR,248944710,N/A,N/A,N/A
194,Centre for Real Estate,N/A,Amakom,Kumasi,AR,303958144,N/A,N/A,N/A
195,Fair Housing Centre,N/A,Amakom,Kumasi,AR,500999997,N/A,N/A,N/A
196,Prabon Greenfields,N/A,West Nhyiaso,Kumasi,AR,546022306,N/A,N/A,N/A
197,Property aid Ghana,N/A,Amakom,Kumasi,AR,500999997,N/A,N/A,N/A
198,Property Masters,N/A,Asokwa,Kumasi,AR,244544487,N/A,N/A,N/A
199,Gremar Ventures LTD,N/A,Kumasi,Kumasi,AR,241201691,N/A,N/A,N/A
200,ACH Estate,N/A,Ahinsan,Kumasi,AR,247037673,N/A,N/A,N/A
201,Amaant Prestige LTD,N/A,Kumasi,Kumasi,AR,209988445,N/A,N/A,N/A
